Number	Gender	GivenName	Surname	StreetAddress	City	ZipCode	EmailAddress	TelephoneNumber	Age	Color	Occupation	Company	Vehicle	Domain	BloodType	Kilograms	Centimeters	Birthday
1468	female	Mjöll	Þráinsdóttir	Heiðarbraut 69	Kópasker	671	MjollTHrainsdottir@cuvox.de	426 4509	20	Green	Agricultural and food scientist	Pay'N Takeit	2003 Chevrolet TrailBlazer	WeatherOdds.is	AB+	61.6	169	10/27/1998
1469	female	Eik	Eiríksdóttir	Hafnargata 72	Fáskrúðsfjörður	750	EikEiriksdottir@einrot.com	486 6490	20	Purple	Musician	The Goose and Duck	2008 Hyundai Veracruz	RugTreatment.is	B+	65.5	165	12/6/1998
1470	male	Snorri	Árnason	Holmatun 55	Bessastaðahreppur	225	SnorriArnason@fleckens.hu	456 8654	39	Blue	Statistician	Joshua Doore	2000 SsangYong Korando	PictureClicks.is	B+	82.3	177	11/21/1979
1471	female	Soffía	Baldvinsdóttir	Fagradalsbraut 15	Egilsstaðir	700	SoffiaBaldvinsdottir@armyspy.com	412 7914	50	Red	Specification inspector	Twin Food Stores	2003 Toyota Soarer	ClearanceMagazines.is	A+	75.8	153	6/25/1969
1472	male	Benedikt	Jóelsson	Ránargata 54	Kópasker	670	BenediktJoelsson@dayrep.com	444 8955	25	Black	Industrial property manager	DGS VolMAX	1993 Volvo 960	DemoSquad.is	B+	90.3	182	10/10/1993
1473	female	Jórunn	Bjarnadóttir	Klausturvegur 32	Ísafjörður	401	JorunnBjarnadottir@dayrep.com	475 8627	79	Black	News correspondent	Beasts of Beauty	1999 Riley MR II	WebCrashers.is	O+	48.7	150	1/1/1940
1474	female	Ellen	Gísladóttir	Höfðastígur 33	Bolungarvík	415	EllenGisladottir@jourrapide.com	489 3209	63	Blue	Construction electrician	Ardan's	2007 Lancia Thesis	RebateSecrets.is	O+	58.4	170	12/11/1955
1475	female	Edda	Björgvinsdóttir	Keflavíkurgata 20	Reykjavík	129	EddaBjorgvinsdottir@armyspy.com	424 9588	32	Blue	Senior reactor operator	Weatherill's	2006 Volkswagen Citi	PoolVendor.is	B+	76.3	170	12/20/1986
1476	female	Fríða	Björgvinsdóttir	Gardatorg 82	Garðabær	212	FridaBjorgvinsdottir@armyspy.com	418 5404	36	Blue	Electronic publishing specialist	Simply Appraisals	2010 Mazda MX-5 Miata	ExtremeMenus.is	O+	69.5	162	11/30/1982
1477	female	Silja	Baldvinsdóttir	Suðurgata 16	Sauðarkrókur	550	SiljaBaldvinsdottir@gustr.com	413 0371	39	Purple	Wastewater treatment plant and system operator	The Flying Bear	2011 Audi A4	TicketReplacement.is	A-	80.7	169	3/22/1980
1478	male	Geir	Snorrason	Álfabyggð 3	Þingeyri	471	GeirSnorrason@armyspy.com	456 0620	85	Blue	Nursery worker	Robinson Furniture	2001 Daewoo Rezzo	RentRugs.is	O-	69.8	171	4/11/1934
1479	female	Guðjóna	Finnbogadóttir	Guðmundsson 18	Flatey	345	GudjonaFinnbogadottir@rhyta.com	479 6839	35	Yellow	Show host	The Spotted Cougar	2001 Suzuki Covie	VoipHere.is	A-	88.1	163	4/21/1984
1480	male	Vagn	Sörensen	Hofsbót 46	Varmahlíð	560	VagnSorensen@fleckens.hu	440 8239	47	Silver	Purchasing technician	Anthony's	2003 Chevrolet Astro	DestructiveBlog.is	O+	65.0	174	4/30/1972
1481	male	Erlendur	Torfason	Aðalgata 99	Patreksfjörður	451	ErlendurTorfason@einrot.com	463 8596	64	Orange	Teller	Balanced Fortune	1995 Ford Explorer	PetChecker.is	A+	97.9	172	6/6/1955
1482	male	Andrés	Reynaldsson	Hvítárbakka 89	Ólafsfjörður	625	AndresReynaldsson@dayrep.com	474 9651	68	Silver	Financial manager	Borders Books	2014 BMW 3 Series Gran Turismo	AutoWirelessPayments.is	O+	103.6	174	10/16/1950
1483	female	Jenna	Ragnarsdóttir	Reykjarhóli 32	Fljót	570	JennaRagnarsdottir@dayrep.com	468 3418	30	Green	Event planner	Magik Grey	2000 Lexus SC	EmploymentBrowse.is	B+	57.5	167	10/9/1988
1484	male	Tómas	Björnsson	Vikurbraut 12	Grindavík	240	TomasBjornsson@armyspy.com	468 0585	69	Black	Administrative services manager	William Wanamaker & Sons	2001 Toyota RSC	DriversText.is	B+	72.3	174	5/2/1950
1485	female	Guðlaug	Marinósdóttir	Aðalgata 70	Patreksfjörður	451	GudlaugMarinosdottir@dayrep.com	488 0065	32	Purple	Baggage porter	Desert Garden Help	2001 Honda City	CampusChiropractic.is	O+	75.0	164	9/5/1987
1486	male	Anton	Sigbjörnsson	Sudurlandsbraut 45	Reykjavík	105	AntonSigbjornsson@superrito.com	462 0381	38	Blue	Freight stock and material mover	Trak Auto	2014 Volvo XC70	PurchaseTemplates.is	A+	71.2	175	4/18/1981
1487	male	Baldur	Hreiðarsson	Norðurbraut 67	Reykjavík	112	BaldurHreidarsson@einrot.com	469 6855	66	Blue	Medical writer	Lawnscape Garden Maintenance	2011 Dodge Dakota	TraditionalRingtones.is	A+	103.9	167	7/30/1953
1488	male	Kristinn	Hlöðvarsson	Kringlan 82	Reykjavík	107	KristinnHlodvarsson@cuvox.de	453 1253	76	Blue	Mechanical drafter	Standard Food	2011 Daewoo Tocsa	ShowState.is	A+	69.0	175	7/24/1943
1489	female	Bergljót	Jakobsdóttir	Smiðjustígur 59	Patreksfjörður	450	BergljotJakobsdottir@cuvox.de	451 5924	67	Green	Resort desk clerk	Monk Home Improvements	2002 Lexus RX	PlatinumLives.is	O+	89.8	167	5/2/1952
1490	male	Haddur	Bjarnason	Fjolnisgata 43	Akureyri	600	HaddurBjarnason@jourrapide.com	463 7300	50	Black	Encoding clerk	Micro Design	2008 Fiat Idea	DubaiSkin.is	B+	103.0	186	10/8/1968
1491	female	Kristrún	Valgeirsdóttir	Naustavegur 49	Vestmannaeyjar	900	KristrunValgeirsdottir@superrito.com	432 5009	65	Blue	Mail superintendent	Opticomp	1999 Oldsmobile Alero	DomainCleanser.is	AB+	69.5	165	12/13/1953
1492	male	Hallsteinn	Hallvarðsson	Bjarnarbraut 4	Norðurfjörður	524	HallsteinnHallvardsson@jourrapide.com	448 3935	33	Green	Typesetting machine operator	Unity Frankford Stores	2006 Nissan Sentra	StrongWolf.is	O+	105.1	176	12/5/1985
1493	male	Fjalar	Þorleifsson	Tryggvabraut 34	Seyðisfjörður	710	FjalarTHorleifsson@teleworm.us	484 9154	63	Blue	Unlicensed assistive personnel	One-Up Realty	2005 Lotec C 1000	BulkEnvelope.is	A+	71.6	177	12/26/1955
1494	female	Ebba	Jensdóttir	Kirkjutorg 7	Reykjavík	124	EbbaJensdottir@teleworm.us	461 2287	19	Green	Cab driver	Strength Gurus	2005 Porsche GT2	AnimalRatings.is	A+	62.1	153	8/17/2000
1495	male	Kristvin	Eggertsson	Hverafold 59	Reykjavík	111	KristvinEggertsson@einrot.com	442 9073	72	Green	Petroleum technician	Plan Smart	2004 Buick Park Avenue	TerritoryBlog.is	A+	94.4	163	9/25/1946
1496	female	Hallbjörg	Óðinsdóttir	Austurstraeti 65	Reykjavík	109	HallbjorgOdinsdottir@dayrep.com	443 7938	64	Blue	Emergency medical technician	Forest City	2001 Kia Rio	RingtoneStyles.is	O+	80.1	168	6/5/1955
1497	female	Sólborg	Haraldsdóttir	Ægissidu 50	Hallormsstaður	707	SolborgHaraldsdottir@superrito.com	449 6228	26	Blue	Ophthalmic laboratory technician	Forest City	2005 Volkswagen Multivan	MediaRomance.is	B+	97.4	162	6/28/1993
1498	female	Anna	Sigmarsdóttir	Gerðuberg 32	Grímsey	611	AnnaSigmarsdottir@cuvox.de	474 7039	33	Blue	Cutting punching and press machine setter	Wilson's Jewelers	2005 Mercedes-Benz Vaneo	PortalFinder.is	O+	86.2	173	9/20/1985
1499	female	Kristrún	Finnbogadóttir	Sudurlandsbraut 47	Reykjavík	105	KristrunFinnbogadottir@rhyta.com	470 4597	73	Purple	EKG technician	Two Pesos	1999 Citroen Pluriel	UnclaimedEquity.is	O-	74.2	165	11/29/1945
1500	female	Dýrleif	Angantýsdóttir	Lindargata 69	Sandgerði	245	DyrleifAngantysdottir@cuvox.de	442 6973	28	Blue	Library media specialist	Maxiserve 	2009 Audi S8	DisguiseYourself.is	AB+	101.3	163	5/1/1991
1501	male	Adam	Sigurmonsson	Svarfaðarbraut 70	Vopnafjörður	690	AdamSigurmonsson@dayrep.com	461 1895	55	White	Septic tank servicer	Super Place	1997 Plymouth Prowler	HumorProducts.is	O+	68.1	171	8/17/1964
1502	female	Magdalena	Þórólfsdóttir	Gilsbakka 73	Bíldudalur	465	MagdalenaTHorolfsdottir@rhyta.com	432 8092	70	Blue	Electrical line worker	Strawberries	2001 Jeep Grand Cherokee	ManagementBio.is	O+	50.5	163	10/15/1948
1503	male	Óskar	Guðnason	Sundabakki 52	Ólafsvík	355	OskarGudnason@superrito.com	457 7750	31	Blue	Small engine service technician	Angel's	2009 Opel Combo	InterviewStars.is	O+	78.7	182	11/19/1987
1504	female	Jenný	Guðnadóttir	Grundargötu 90	Grundarfjörður	350	JennyGudnadottir@cuvox.de	419 5289	64	Purple	Engineer	Buehler Foods	2012 Ford Flex	MidwifeLocator.is	B+	65.7	155	8/28/1955
1505	female	Guðjóna	Ottarsdóttir	Fagurhólsmýri 31	Fagurhólsmýri	785	GudjonaOttarsdottir@jourrapide.com	441 9367	75	Blue	Loan processing clerk	Body Fate	1995 Opel Omega	LendingShares.is	O-	49.2	169	2/13/1944
1506	male	Skarphéðinn	Arnfinnsson	Ægissidu 90	Hallormsstaður	707	SkarphedinnArnfinnsson@fleckens.hu	454 1085	38	Black	Photographic equipment repairer	Lone Wolf Wealth Planning	1995 Ford Courier	ResidentialBook.is	A+	73.2	181	3/26/1981
1507	male	Ásgrímur	Hólmsteinsson	Kveldúlfsgata 69	Njarðvík	260	AsgrimurHolmsteinsson@einrot.com	454 5104	57	Black	Coil taper	Heslop's	2008 Mazda Etude	PublishedPaper.is	O+	102.6	172	6/12/1962
1508	male	Þórbergur	Bryndísarson	Súluvegur 68	Þórshöfn	681	THorbergurBryndisarson@jourrapide.com	473 2391	48	Black	Dining room and cafeteria attendant	Knockout Kickboxing	2007 Chevrolet Colorado	MysteryShoes.is	B+	94.2	176	12/3/1970
1509	male	Gabríel	Agnarsson	Kirkjubraut 25	Laugar	650	GabrielAgnarsson@fleckens.hu	433 0413	27	Blue	Substance abuse and behavioral disorder counselor	Merrymaking	2007 Saab 9-7X	SliverPendant.is	O+	63.5	176	10/31/1991
1510	female	Jóney	Valdimarsdóttir	Eyrarodda 54	Flateyri	425	JoneyValdimarsdottir@einrot.com	411 9488	40	Black	Tailor	Strong Life	2002 Holden Barina	PolicePodcast.is	O+	79.5	158	4/8/1979
1511	female	Kristjana	Þórólfsdóttir	Merkigerði 74	Laugarvatn	840	KristjanaTHorolfsdottir@superrito.com	462 8874	66	Blue	Safety technician	Datacorp	1994 Mercury Cougar	RenoLenders.is	B+	95.9	167	8/30/1953
1512	female	Bóel	Benediktsdóttir	Hafnarbraut 11	Hólmavík	510	BoelBenediktsdottir@dayrep.com	423 0863	58	Blue	Gas pumping station operator	Great Clothes	2015 Porsche Panamera	TestPixel.is	O+	91.3	157	5/13/1961
1513	male	Hafliði	Ásvaldsson	Solvellir 27	Breiðdalsvík	760	HaflidiAsvaldsson@superrito.com	486 4122	34	Black	Case management aide	Wag's	1995 Buick Century	HDTapes.is	O+	84.8	171	8/9/1985
1514	female	Dýrleif	Guðsteinsdóttir	Höfðabraut 79	Hvammstangi	531	DyrleifGudsteinsdottir@rhyta.com	464 1436	24	Green	Electronics technician	National Hardgoods Distributors	2015 Mercedes-Benz SLK-Class	MiniDroid.is	A+	76.1	164	5/21/1995
1515	male	Bernharð	Níelsson	Klausturvegur 74	Ísafjörður	401	BernhardNielsson@rhyta.com	445 3673	52	Blue	Paperhanger	Father & Son	2003 Ford 427	SocialJournals.is	B+	70.5	182	7/11/1967
1516	male	Kristinn	Hallbergsson	Gilsbakka 81	Bíldudalur	465	KristinnHallbergsson@armyspy.com	446 1033	29	Black	Computer database administrator	World Radio	1992 Mahindra Armada	FloridaPsychiatrists.is	O+	86.4	170	11/11/1989
1517	male	Kristvin	Sigtryggsson	Hlégerði 89	Hnífsdalur	410	KristvinSigtryggsson@gustr.com	449 8068	84	Blue	Criminal lawyer	Aaronson Furniture	2002 Mahindra Scorpio	OptionListing.is	O+	63.0	171	5/4/1935
1518	male	Sigurjón	Oddgeirsson	Skíðabraut 8	Dalvík	620	SigurjonOddgeirsson@teleworm.us	459 8875	63	Blue	Construction job cost estimator	Champion Auto	2002 Peugeot 206	StyleFoot.is	O+	98.1	184	12/12/1955
1519	female	Harpa	Finnbogadóttir	Ártún 12	Reykjavík	110	HarpaFinnbogadottir@jourrapide.com	445 9933	28	Yellow	Job developer	Lechmere	2009 Tata Sumo	ParkingSolver.is	O+	56.5	155	3/16/1991
1520	female	Elínbjörg	Jóhannesdóttir	Höfðabraut 22	Hvammstangi	531	ElinbjorgJohannesdottir@einrot.com	448 2138	50	Green	Fabric mender	Dick Fischers	2005 Saturn LW	ChocolateDealer.is	O+	105.7	170	11/20/1968
1521	male	Geirfinnur	Magnússon	Norðurbrún 12	Sauðarkrókur	551	GeirfinnurMagnusson@gustr.com	479 5451	24	Green	Family therapist	Asian Fusion	2004 Vauxhall Tigra	ItSummary.is	O+	104.2	176	11/13/1994
1522	female	Þyri	Ellertsdóttir	Bjarg Dalbraut 84	Búðardalur	370	THyriEllertsdottir@fleckens.hu	468 2921	26	Purple	Central office installer	MacMarr Stores	1997 Daihatsu Feroza	SanDiegoRugs.is	B+	91.1	165	10/20/1992
1523	female	Lóa	Atladóttir	Klapparstígur 10	Reykjavík	127	LoaAtladottir@dayrep.com	439 8603	45	Green	Nail care technician	Matrix Architectural Service 	2003 Volkswagen Sharan	ScannerFone.is	B+	59.2	170	4/11/1974
1524	male	Valgeir	Leifsson	Laufásgötu 91	Vestmannaeyjar	902	ValgeirLeifsson@armyspy.com	465 0633	46	Blue	Digital electronic prepress worker	Best Products	2014 Ford E-Series Wagon	RehabPatient.is	AB+	99.2	178	5/22/1973
1525	female	Ingiríður	Baldursdóttir	Súluvegur 20	Þórshöfn	681	IngiridurBaldursdottir@dayrep.com	423 5346	37	Blue	Dental assistant	Central Hardware	1997 Nissan Patrol	ShinProtection.is	O+	74.9	154	2/10/1982
1526	male	Þórður	Hannesson	Höfðastígur 55	Bolungarvík	415	THordurHannesson@fleckens.hu	463 4277	73	Red	Employment manager	Star Merchant Services	2000 Audi R8	HugeFiesta.is	O+	77.2	180	10/17/1945
1527	male	Emil	Guðsteinsson	Ráðhústorg 58	Stöðvarfjörður	755	EmilGudsteinsson@dayrep.com	452 2232	75	Blue	Medical scientist	Record World	2010 Porsche Cayman	MacroSigns.is	O+	70.8	163	5/1/1944
1528	female	Sóldís	Örlygsdóttir	Sudurlandsbraut 78	Reykjavík	105	SoldisOrlygsdottir@fleckens.hu	441 1994	38	Blue	Patient representative	Super Saver Foods	2001 Maserati 3200 GT	MedicationWarning.is	A+	49.2	167	1/11/1981
1529	male	Mikael	Ásgrímsson	Fjölnisgata 62	Vogar	190	MikaelAsgrimsson@gustr.com	477 4186	75	Blue	Insulation worker	Paul's Food Mart	2007 Proton Satria	SkateRingtones.is	B+	89.5	184	5/25/1944
1530	female	Heiðbjört	Ingadóttir	Ártún 42	Reykjavík	110	HeidbjortIngadottir@teleworm.us	479 1260	54	Purple	Training and development manager	Griff's Hamburgers	2000 Nissan Terrano II	HottestNumbers.is	A+	70.1	155	10/19/1964
1531	female	Finnborg	Ívarsdóttir	Þverbraut 9	Blönduós	541	FinnborgIvarsdottir@rhyta.com	489 0484	36	Purple	Product designer	Multi Tech Development	1998 Nissan Crew	BaldPrevention.is	O+	75.1	155	12/27/1982
1532	female	Díana	Einarsdóttir	Smiðjustígur 65	Patreksfjörður	450	DianaEinarsdottir@gustr.com	485 7179	58	Blue	Pamphlet binding worker	AJ Bayless	2011 Mercedes-Benz SLS	HelicopterParking.is	O+	64.6	171	11/22/1960
1533	male	Vilbergur	Markússon	Merkigerði 53	Laugarvatn	840	VilbergurMarkusson@rhyta.com	442 0615	71	Silver	Credit reporter	Atlas Realty	2000 Ford Mustang	JokeSolver.is	B+	94.6	172	11/7/1947
1534	female	Svava	Gunnarsdóttir	Austurstraeti 82	Reykjavík	109	SvavaGunnarsdottir@armyspy.com	458 3882	60	Yellow	Education administrator	Pak and Save	1999 Holden Berlina	StellarBlogs.is	A+	72.7	158	8/17/1959
1535	male	Björgólfur	Friðbjarnarson	Hverafold 59	Reykjavík	111	BjorgolfurFridbjarnarson@gustr.com	485 6343	68	Blue	Dentist	Budget Tapes & Records	2011 Kia Carens	PierHotels.is	O+	81.9	163	7/27/1951
1536	male	Gunnar	Guðbjarnarson	Akurgerði 6	Ísafjörður	400	GunnarGudbjarnarson@einrot.com	439 1093	47	Blue	Purchase-and-sales clerk	Smitty's Marketplace	2012 BMW 760	WatchCalls.is	A+	64.2	176	2/19/1972
1537	female	Kaja	Óskarsdóttir	Keflavíkurgata 53	Reykjavík	129	KajaOskarsdottir@rhyta.com	426 5587	71	Blue	Apparel worker	Trak Auto	1994 Mercury Capri	CaptionPhoto.is	B+	94.3	158	1/11/1948
1538	male	Björgvin	Guðmarsson	Hnjúkabyggð 38	Reykjavík	121	BjorgvinGudmarsson@jourrapide.com	487 1952	65	Blue	Graduate teaching assistant	Universal Design Partners	2003 Ford Ecosport	LookupSales.is	A+	90.7	176	9/3/1954
1539	male	Sveinbjörn	Sigvaldason	Dalbraut 65	Króksfjarðarnes	380	SveinbjornSigvaldason@fleckens.hu	423 1979	73	Blue	Telecommunications equipment installer	Kohl's Food Stores	2012 Hyundai Terracan	CartoonInsider.is	A+	101.4	183	10/5/1945
1540	female	Evlalía	Hrafnsdóttir	Borgartuni 7	Reykjavík	131	EvlaliaHrafnsdottir@cuvox.de	418 1429	61	Blue	Floor broker	Cherry & Webb	2008 Alfa Romeo 156	BaseBonus.is	O+	82.2	154	1/9/1958
1541	male	Haukur	Þormóðsson	Ennisbraut 92	Reykjahlíð	660	HaukurTHormodsson@teleworm.us	445 8277	63	Blue	Claims adjuster	Coffey's Market	1996 Hyundai Sonata	SocialSpecialists.is	A+	108.6	182	3/29/1956
1542	male	Valgarður	Ingþórsson	Drangahrauni 84	Kópavogur	202	ValgardurIngthorsson@gustr.com	416 2640	44	Black	Full-charge bookkeeper	Burger Chef	2015 Toyota Highlander	ThrowKisses.is	A+	66.8	175	5/18/1975
1543	male	Valdimar	Bertelsson	Þingvallastræti 28	Súðavík	420	ValdimarBertelsson@einrot.com	480 2148	76	Red	Speech therapist	Asian Fusion	2004 Ford GT	SecretApps.is	O+	78.5	176	6/1/1943
1544	male	Kolbeinn	Guðmarsson	Hrútafjörður 36	Brú	500	KolbeinnGudmarsson@teleworm.us	436 2239	23	Black	Physician	Kids Mart	2002 Mazda B2500	SolarStands.is	A-	101.0	185	7/3/1996
1545	male	Sölvi	Bjartmarsson	Bergstaðarstræti 95	Reykjavík	103	SolviBjartmarsson@jourrapide.com	465 6003	75	Green	HIV/AIDS nurse	Tape World	1996 Mazda Carol	CashCentric.is	O+	102.9	180	7/8/1944
1546	male	Snorri	Þrastarson	Adalstraeti 11	Akureyri	602	SnorriTHrastarson@dayrep.com	481 1279	40	Blue	ENG operator	Atlas Architectural Designs	2007 Opel Speedster	LocalShrinks.is	O+	81.3	181	12/23/1978
1547	male	Rhoda	Reynaldsson	Klapparstígur 63	Reykjavík	127	RhodaReynaldsson@fleckens.hu	417 2871	54	Green	Private investigator	ManPower	1994 Toyota Starlet	MicrowaveUpdate.is	B+	92.5	167	6/3/1965
1548	female	Margrét	Bryndísardóttir	Stórholt 94	Kjörvogur	522	MargretBryndisardottir@teleworm.us	441 9878	80	Purple	Clinical psychologist	Mages	2015 MINI Cooper Roadster	EducationalAnalysis.is	B+	52.0	157	11/6/1938
1549	female	Marta	Vigfúsdóttir	Eyrarlandsvegur 33	Tálknafjörður	460	MartaVigfusdottir@superrito.com	427 8535	85	Yellow	Merchandise displayer	System Star Solutions	2011 Cadillac CTS-V	OffParking.is	B+	83.1	167	3/27/1934
1550	female	Agnes	Birgisdóttir	Klettsbúð 97	Reykjavík	128	AgnesBirgisdottir@einrot.com	463 1271	75	Orange	Religious activities and education director	Solid Future	2006 Chevrolet Captiva	BiographyReviews.is	B+	73.0	157	11/17/1943
1551	female	Heiða	Ellertsdóttir	Höfðastígur 97	Bolungarvík	415	HeidaEllertsdottir@teleworm.us	470 7117	65	Blue	Music director	Sure Save	1993 BMW 520	PublishApps.is	A+	74.7	159	10/4/1953
1552	female	Snæfríður	Ingveldardóttir	Suðurgata 89	Sauðarkrókur	550	SnaefridurIngveldardottir@fleckens.hu	433 0257	23	Orange	Pest control technician	New World	2008 BMW 730	DraftingExpert.is	A-	46.5	165	9/14/1996
1553	male	Andri	Ríkharðsson	Grundargötu 18	Grundarfjörður	350	AndriRikhardsson@teleworm.us	450 6635	27	Black	Subway operator	Cuppy's Coffee	2006 Mazda 2	MatrimonyClub.is	A+	81.2	168	2/12/1992
1554	female	Ástríður	Baldursdóttir	Árbraut 46	Blönduós	540	AstridurBaldursdottir@superrito.com	429 3047	51	Orange	Image designer	McDade's	2002 Toyota Prius	SouthAmericaFlowers.is	O-	67.8	166	10/6/1967
1555	male	Ríkharður	Eyþórsson	Þórunnarstræti 34	Skagaströnd	545	RikhardurEythorsson@rhyta.com	481 4539	42	Red	Cooling and freezing equipment tender	Burstein-Applebee	2015 Ford C-Max Energi	FlightCalls.is	B+	87.0	175	8/18/1977
1556	female	Rannveig	Ragnarsdóttir	Strandgata 74	Eskifjörður	735	RannveigRagnarsdottir@gustr.com	440 1400	67	Purple	Remote sensing specialist	Eden Lawn Service	1996 Mitsubishi Pajero	DirectoryRates.is	B-	55.8	166	7/25/1952
1557	male	Tryggvi	Hinriksson	Garðavegur 10	Reykjavík	125	TryggviHinriksson@cuvox.de	478 6747	43	Green	Cook	Stratacard	2007 Volvo V50	EyeReporter.is	B+	70.4	181	12/3/1975
1558	male	Hallur	Ludvigsson	Reykjarhóli 72	Fljót	570	HallurLudvigsson@superrito.com	468 1194	69	Blue	College instructor	Life Plan Counselling	2010 Seat Altea	EverydayRisk.is	O+	106.4	167	8/14/1950
1559	female	Þórhalla	Aðalbjörnsdóttir	Klausturvegur 7	Ísafjörður	401	THorhallaAdalbjornsdottir@armyspy.com	460 7995	44	Red	Professor	Finast	2002 Ascari Ecosse	SheWeek.is	O+	65.6	154	5/5/1975
1560	male	Sindri	Hákonarson	Guðmundsson 8	Flatey	345	SindriHakonarson@fleckens.hu	411 9461	52	Green	Card punching machine operator	Naugles	2005 ZAZ Tavrija	MissExecutive.is	A+	84.3	187	10/30/1966
1561	female	Rakel	Halldórsdóttir	Keflavíkurgata 90	Reykjavík	129	RakelHalldorsdottir@gustr.com	412 8064	71	Black	Microbiologist	Castro Convertibles	1992 Pontiac Sunbird	CorpContracts.is	B+	83.2	165	2/3/1948
1562	male	Ómar	Ludwigsson	Austvaðsholti 59	Hella	851	OmarLudwigsson@einrot.com	432 4293	52	Blue	Ticket taker	Xray Eye & Vision Clinics	2001 Nissan MM	GreenDakota.is	O+	110.9	174	7/28/1967
1563	female	Ragnheiður	Böðvarsdóttir	Nordurvegur 66	Hrísey	630	RagnheidurBodvarsdottir@cuvox.de	418 8638	22	Blue	Tool sharpener	Quickbiz	1992 Vauxhall Carlton	AfterFiesta.is	O+	87.6	154	3/26/1997
1564	male	Þorsteinn	Sigurmundsson	Bjarnarbraut 58	Norðurfjörður	524	THorsteinnSigurmundsson@jourrapide.com	449 6638	62	Green	Agricultural laborer	Grey Fade	2004 Lexus GX	BargainMaintenance.is	O+	101.1	184	4/26/1957
1565	female	Rebekka	Alfreðsdóttir	Eikarlundur 92	Þórshöfn	680	RebekkaAlfredsdottir@cuvox.de	447 1011	29	Yellow	Short haul or local truck driver	Druther's	2005 Renault Grand Scenic	SpainRates.is	A+	55.2	173	10/9/1989
1566	female	Elín	Árnadóttir	Norðurbrún 95	Sauðarkrókur	551	ElinArnadottir@superrito.com	471 4337	74	Green	Accountant	Golden's Distributors	1995 Mitsubishi Space Runner	PayperDVD.is	B+	53.9	170	12/18/1944
1567	male	Hreiðar	Friðjónsson	Heiðarbraut 44	Kópasker	671	HreidarFridjonsson@dayrep.com	470 6031	30	Brown	Administrative office specialist	id Boutiques	2004 Suzuki XL7	FlyerFunds.is	O+	97.4	182	6/1/1989
1568	female	Móeiður	Jakobsdóttir	Breidamork 10	Hveragerði	810	MoeidurJakobsdottir@dayrep.com	467 3779	35	Purple	Caster	Music Plus	1998 Mazda Sentia	TestPixel.is	B+	85.2	166	12/24/1983
1569	male	Ívar	Konráðsson	Sundabakki 91	Ólafsvík	355	IvarKonradsson@cuvox.de	449 7414	53	Blue	Extruding and drawing machine operators	ABCO Foods	2008 Audi A4	ScientificValues.is	A+	65.5	180	12/16/1965
1570	female	Silla	Sigmarsdóttir	Hrisateigur 19	Húsavík	641	SillaSigmarsdottir@armyspy.com	469 5460	81	Black	Brickmason	Foxmoor	2003 Nissan Serena	SemiTrust.is	A+	54.6	159	8/7/1938
1571	female	Steinlaug	Kristinsdóttir	Höfðagata 94	Keflavíkurflugvöllur	235	SteinlaugKristinsdottir@cuvox.de	439 0229	54	Blue	Information specialist	Rite Solution	2014 Hyundai Elantra GT	MealCalculator.is	B+	100.3	166	9/17/1965
1572	male	Jón	Vilbergsson	Fjolnisgata 59	Akureyri	600	JonVilbergsson@superrito.com	481 2811	48	Orange	Family practitioner	Family Toy	2009 Saturn Outlook	BlindWorkers.is	B+	72.0	186	9/12/1971
1573	female	Hrönn	Jónsdóttir	Fífubarð 62	Eyrabakki	820	HronnJonsdottir@dayrep.com	454 8814	26	Purple	Food preparation worker	MegaSolutions	1993 Cadillac DeVille	PokerClues.is	A+	76.7	170	1/7/1993
1574	female	Heiðrún	Eiríksdóttir	Sigtuni 10	Reykjavík	104	HeidrunEiriksdottir@gustr.com	429 3108	60	Black	Claims adjuster	Sure Save	2009 Peugeot 207	CompanyUmbrella.is	AB+	55.6	152	5/7/1959
1575	male	Pjetur	Valgeirsson	Hvítárbakka 23	Ólafsfjörður	625	PjeturValgeirsson@einrot.com	480 7905	47	Blue	Time recorder	National Shirt Shop	2014 Lexus RX 350	LincolnSearch.is	O+	85.4	175	11/5/1971
1576	male	Stefnir	Skaftason	Heiðargerði 65	Akranes	300	StefnirSkaftason@teleworm.us	471 6591	76	Green	Marine oiler	Express Merchant Service	2009 Hyundai Genesis Coupe	AlternativePoker.is	O-	68.6	163	4/17/1943
1577	female	Marta	Angantýsdóttir	Heiðarbraut 27	Kópasker	671	MartaAngantysdottir@jourrapide.com	421 0321	80	Green	Tour guide	Grossman's	2014 BMW 5 Series Gran Turismo	MonthlyElectricBill.is	A+	85.8	153	10/25/1938
1578	male	Númi	Jónbjörnsson	Breidamork 54	Hveragerði	810	NumiJonbjornsson@fleckens.hu	417 6037	26	Blue	Psychiatrist	Source Club	1997 Proton Perdana	PrankPros.is	O+	93.7	179	11/19/1992
1579	female	Camilla	Kristbjörnsdóttir	Suðurbraut 97	Hofsós	566	CamillaKristbjornsdottir@jourrapide.com	477 7171	28	Purple	Forensic technician	Carrols Restaurant Group	2000 Infiniti Q45	HottestPubs.is	A+	89.7	175	5/21/1991
1580	female	Magnína	Kristinsdóttir	Þorsteinsgata 95	Neskaupstaður	740	MagninaKristinsdottir@jourrapide.com	446 0017	74	Red	Digital image processor	Mr. D's IGA	2000 Mitsubishi SSU	CuisineCop.is	B+	59.8	168	6/22/1945
